117883161,42509226
117883227,42509247
117888063,42512697
117888288,42512751
117902397,42563715
117907944,42515799
117915318,42519075
117917619,42520938
117918603,42519054
117918633,42521745
117933006,42524136
117934485,42525147
117935571,42526242
117939240,42528786
117939534,42528882
117939615,42529098
117940662,42529962
117940788,42529989
117940824,42530070
117941697,42530880
117942105,42531441
117942471,42531906
117942663,42531945
117948948,42536397
117950286,42537261
117950295,42537336
117954786,42542463
117955323,42542895
117956802,42545394
117956988,42545523
117958695,42547104
117959166,42547353
117960744,42548478
117975165,42550791
117976404,42551826
117977385,42552522
117979128,42554406
117979647,42554826
117980211,42555417
117981882,42555294
117984396,42557910
117984738,42558108
117987585,42558798
117987588,42558816
117988431,42559221
117997068,42562260
118000047,42563817
118000434,42564048
118000827,42564399
118004676,42566769
118007646,42568212
118010991,42568932
118011570,42569373
118011699,42569544
118021173,42574584
118022358,42575286
118022436,42575355
118038930,42582567
118038981,42582657
118039743,42583425
118043268,42585246
118048047,42586950
118057038,42588945
118064790,42590883
118067031,42592077
118067817,42592749
118071588,42596286
118071714,42596331
118071963,42596613
118072908,42597588
118073970,42598416
118074360,42598725
118074363,42598710
118074945,42599055
118075053,42599178
118081260,42601491
118089501,42602838
118102215,42606351
118108905,42608223
118110324,42608892
118112097,42610053
118112751,42610521
118120062,42612576
118122012,42613782
118122765,42614589
118122771,42615354
118124073,42615924
118124433,42616293
118124868,42616656
118127193,42619095
118127742,42619812
118129701,42621594
118129944,42621834
118130295,42621903
118136550,42623964
118139121,42625773
118147872,42626970
118148304,42627375
118149033,42627951
118149267,42628098
118151460,42630225
118153977,42633528
118155903,42636276
118156455,42637020
118160493,42642867
118170273,42648966
118175097,42652890
118175199,42653136
118175619,42653469
118176135,42653823
118183938,42656085
118185336,42657282
118185441,42657348
118200186,42658620
118204860,42659265
118209207,42660471
118214889,42662988
118215531,42663240
118222887,42665571
118226691,42666693
118228089,42666924
118228752,42667200
118228977,42667428
118238847,42668193
118243299,42670092
118245354,42671751
118246803,42673158
118254417,42678297
118263219,42685341
118264158,42686001
118264278,42686064
118265982,42687702
118268292,42689610
118270407,42690951
118272837,42691677
118280859,42697836
118281525,42698238
118282743,42699087
118283709,42699513
118287084,42701601
118289043,42702321
118291218,42703866
118291749,42704301
118292082,42704535
118292220,42704754
118293078,42705468
118294878,42709338
118295424,42709581
118298418,42713565
118303116,42715167
118303464,42715245
118308282,42716025
118312215,42717150
118318284,42717549
118326831,42719382
118327539,42719835
118330134,42720606
118330404,42722469
118332759,42724929
118334616,42726711
118335048,42727047
118335159,42727125
118337640,42729924
118340835,42730869
118344108,42732588
118344333,42732810
118345089,42733350
118345371,42733452
118352103,42736701
118352268,42736833
118353528,42738027
118353681,42738270
118354665,42739113
118356450,42740367
118358256,42742011
118358463,42742200
118358982,42742578
118359516,42742905
118359840,42743142
118369296,42747930
118371330,42750210
118371411,42750294
118373208,42752601
118373238,42752673
118376184,42755379
118377330,42756582
118378314,42757488
118379022,42758172
118381383,42759498
118382184,42760266
118383087,42761097
118383360,42761217
118383390,42761298
118383936,42761730
118385049,42762819
118388814,42765495
118390785,42767412
118391340,42767685
118391772,42767766
118395642,42768864
118395774,42768939
118397367,42769875
118398243,42770535
118399359,42771681
118400316,42772500
118400370,42772551
118400376,42772455
118400571,42772734
118400880,42772929
118403760,42775599
118406544,42777309
118407819,42778344
