msgid,groupid,arrival
110674173,64894,2026-06-22 14:27:53.000000
110674173,126719,2026-06-22 14:27:53.000000
110674173,126734,2026-06-22 14:27:53.000000
110674173,217446,2026-06-22 14:27:53.000000
110674173,253433,2026-06-22 14:27:53.000000
110674173,253463,2026-06-22 14:27:53.000000
110674173,253502,2026-06-22 14:27:53.000000
110674173,253505,2026-06-22 14:27:53.000000
110674173,253508,2026-06-22 14:27:53.000000
110674173,386072,2026-06-22 14:27:53.000000
110674173,395398,2026-06-22 14:27:53.000000
110674173,407623,2026-06-22 14:27:53.000000
110674173,435173,2026-06-22 14:27:53.000000
110674173,507940,2026-06-22 14:27:53.000000
110674173,515432,2026-06-22 14:27:53.000000
110675322,21277,2026-06-22 14:28:01.000000
110675322,21350,2026-06-22 14:28:01.000000
110675322,21449,2026-06-22 14:28:01.000000
110675322,21450,2026-06-22 14:28:01.000000
110675322,21454,2026-06-22 14:28:01.000000
110675322,21456,2026-06-22 14:28:01.000000
110675322,21470,2026-06-22 14:28:01.000000
110675322,21486,2026-06-22 14:28:01.000000
110675322,21492,2026-06-22 14:28:01.000000
110675322,21632,2026-06-22 14:28:01.000000
110675322,21662,2026-06-22 14:28:01.000000
110675322,21676,2026-06-22 14:28:01.000000
110675322,21682,2026-06-22 14:28:01.000000
110675322,45523,2026-06-22 14:28:01.000000
110675322,126719,2026-06-22 14:28:01.000000
110675322,126734,2026-06-22 14:28:01.000000
110675322,217446,2026-06-22 14:28:01.000000
110675322,253433,2026-06-22 14:28:01.000000
110675322,253463,2026-06-22 14:28:01.000000
110675322,253502,2026-06-22 14:28:01.000000
110675322,253505,2026-06-22 14:28:01.000000
110675322,253508,2026-06-22 14:28:01.000000
110675322,386072,2026-06-22 14:28:01.000000
110675322,395398,2026-06-22 14:28:01.000000
110675322,407623,2026-06-22 14:28:01.000000
110675322,435173,2026-06-22 14:28:01.000000
110675322,507940,2026-06-22 14:28:01.000000
110675322,515432,2026-06-22 14:28:01.000000
111218931,21364,2026-06-22 14:28:18.000000
111218931,21457,2026-06-22 14:28:18.000000
111218931,21572,2026-06-22 14:28:18.000000
111218931,126710,2026-06-22 14:28:18.000000
111218931,398418,2026-06-22 14:28:18.000000
112336908,21232,2026-06-22 14:28:32.000000
112336908,21273,2026-06-22 14:28:32.000000
112336908,21358,2026-06-22 14:28:32.000000
112336908,21616,2026-06-22 14:28:32.000000
112336908,21691,2026-06-22 14:28:32.000000
112336908,21698,2026-06-22 14:28:32.000000
112336908,126767,2026-06-22 14:28:32.000000
112336908,253487,2026-06-22 14:28:32.000000
112336908,522664,2026-06-22 14:28:32.000000
112336908,522833,2026-06-22 14:28:32.000000
112336908,522839,2026-06-22 14:28:32.000000
112634730,21350,2026-06-22 14:28:40.000000
112634730,21449,2026-06-22 14:28:40.000000
112634730,21450,2026-06-22 14:28:40.000000
112634730,21454,2026-06-22 14:28:40.000000
112634730,21456,2026-06-22 14:28:40.000000
112634730,21470,2026-06-22 14:28:40.000000
112634730,21486,2026-06-22 14:28:40.000000
112634730,21492,2026-06-22 14:28:40.000000
112634730,21632,2026-06-22 14:28:40.000000
112634730,21662,2026-06-22 14:28:40.000000
112634730,21676,2026-06-22 14:28:40.000000
112634730,21682,2026-06-22 14:28:40.000000
112634730,45523,2026-06-22 14:28:40.000000
112634730,64894,2026-06-22 14:28:40.000000
112634730,126719,2026-06-22 14:28:40.000000
112634730,126734,2026-06-22 14:28:40.000000
112634730,217446,2026-06-22 14:28:40.000000
112634730,253433,2026-06-22 14:28:40.000000
112634730,253463,2026-06-22 14:28:40.000000
112634730,253502,2026-06-22 14:28:40.000000
112634730,253505,2026-06-22 14:28:40.000000
112634730,253508,2026-06-22 14:28:40.000000
112634730,386072,2026-06-22 14:28:40.000000
112634730,395398,2026-06-22 14:28:40.000000
112634730,407623,2026-06-22 14:28:40.000000
112634730,435173,2026-06-22 14:28:40.000000
112634730,507940,2026-06-22 14:28:40.000000
112634730,515432,2026-06-22 14:28:40.000000
112691949,21423,2026-06-22 14:28:48.000000
112691949,21525,2026-06-22 14:28:48.000000
112691949,70146,2026-06-22 14:28:48.000000
112691949,126539,2026-06-22 14:28:48.000000
112691949,126650,2026-06-22 14:28:48.000000
112691949,126665,2026-06-22 14:28:48.000000
112691949,506166,2026-06-22 14:28:48.000000
112794330,21277,2026-06-22 14:29:05.000000
112794330,21323,2026-06-22 14:29:05.000000
112794330,21350,2026-06-22 14:29:05.000000
112794330,21367,2026-06-22 14:29:05.000000
112794330,21406,2026-06-22 14:29:05.000000
112794330,21450,2026-06-22 14:29:05.000000
