lat,lng,conn
51.627869,-0.160463,78
51.620132,-0.186812,80
51.620846,-0.195792,74
51.618222,-0.182625,85
51.614018,-0.194859,78
51.632445,-0.212806,64
51.633762,-0.187364,75
51.628284,-0.173347,84
51.629558,-0.180488,79
51.624677,-0.189102,74
51.623596,-0.177793,83
51.645838,-0.209812,71
51.647904,-0.217316,70
51.643814,-0.213845,69
51.644551,-0.190273,77
51.644066,-0.196041,76
51.641708,-0.236451,62
51.643312,-0.204034,75
51.649277,-0.203262,80
51.649275,-0.198091,83
51.649733,-0.209860,79
51.600877,-0.188416,85
51.604561,-0.193566,85
51.599091,-0.181995,82
51.604188,-0.185866,86
51.613937,-0.178482,90
51.614907,-0.183010,86
51.611049,-0.188524,85
51.610546,-0.182453,88
51.608652,-0.194457,81
51.606275,-0.198163,81
51.573589,-0.241813,82
51.578163,-0.235075,83
51.575633,-0.227683,79
51.578360,-0.248265,81
51.584559,-0.235004,84
51.579454,-0.224325,85
51.581231,-0.218208,84
51.582388,-0.250303,79
51.580342,-0.239291,85
51.581248,-0.229662,86
51.607410,-0.164591,84
51.605030,-0.174229,83
51.607790,-0.179949,87
51.610792,-0.171812,85
51.602428,-0.178513,80
51.619714,-0.171068,83
51.619336,-0.177403,87
51.617104,-0.170894,84
51.614067,-0.174565,89
51.613975,-0.164545,84
51.462231,0.165044,77
51.462889,0.175679,70
51.462468,0.153708,80
51.457667,0.167531,78
51.454526,0.156379,82
51.458779,0.152782,83
51.450443,0.161551,77
51.485462,0.151563,78
51.482083,0.145638,78
51.483877,0.138923,76
51.498135,0.155677,75
51.490585,0.145923,78
51.488341,0.141550,76
51.487085,0.146789,78
51.438591,0.086162,73
51.451918,0.089518,74
51.449281,0.094328,74
51.446357,0.090309,73
51.447710,0.098834,77
51.441836,0.087403,74
51.442567,0.094777,73
51.445817,0.110325,75
51.448195,0.106045,78
51.444492,0.125572,72
51.446675,0.132311,75
51.443931,0.104309,75
51.443654,0.116782,71
51.448621,0.116221,77
51.468997,0.143316,77
51.470552,0.134777,78
51.467657,0.152393,77
51.466573,0.131942,82
51.467178,0.126714,79
51.465760,0.140061,81
51.472587,0.129581,77
51.457931,0.138724,86
51.453719,0.131216,78
51.454036,0.145670,83
51.451587,0.136158,80
51.449764,0.149434,74
51.460860,0.144912,83
51.461707,0.135943,85
51.471896,0.176841,76
51.468050,0.175291,71
51.470034,0.168260,76
51.467368,0.161244,77
51.466231,0.170411,71
51.474612,0.170065,77
51.474394,0.178581,77
51.458083,0.194509,72
51.450775,0.189057,78
51.456649,0.185786,77
51.456161,0.177133,81
51.446098,0.180026,74
51.461840,0.183317,72
51.429952,0.142214,66
51.428353,0.117876,73
51.419083,0.139318,62
51.421179,0.112036,79
51.418751,0.124514,70
51.417481,0.116149,78
51.433073,0.124984,74
51.458596,0.110624,82
51.457429,0.124023,81
51.452495,0.122674,74
51.452787,0.112191,76
51.462586,0.112597,85
51.462288,0.121219,83
51.461487,0.128935,83
51.465506,0.086868,77
51.462285,0.087375,77
51.470774,0.094066,76
51.466229,0.092300,78
51.467050,0.099243,81
51.466848,0.106701,82
51.483209,0.155191,75
51.479865,0.177294,81
51.484726,0.174449,77
51.488381,0.169593,77
51.483673,0.161255,77
51.478933,0.167010,78
51.494514,0.164351,77
51.457412,0.102124,80
51.457878,0.091962,77
51.455036,0.099082,77
51.457738,0.086335,77
51.452663,0.097178,77
51.462627,0.102391,86
51.460423,0.095945,82
51.493342,0.124646,82
51.484407,0.128015,77
51.489537,0.131616,79
51.478109,0.127031,75
51.479608,0.137569,76
51.476222,0.133357,74
51.495310,0.124765,81
51.433326,0.079260,74
51.430526,0.096748,80
51.434024,0.086966,73
51.429760,0.087259,76
51.426333,0.091682,76
51.420496,0.102084,79
51.477488,0.187674,75
51.476218,0.204714,69
51.474000,0.183148,76
51.468159,0.184468,75
51.465118,0.200639,71
51.465560,0.181600,73
51.473633,0.141023,74
51.476403,0.153492,75
51.476263,0.159573,78
51.474132,0.164087,81
51.472656,0.148384,74
51.472342,0.156944,76
51.477898,0.147582,75
51.437785,0.122961,74
51.437048,0.161472,64
51.437220,0.133630,72
51.441469,0.125234,73
51.440988,0.149964,78
51.441722,0.138023,74
51.445213,0.144476,77
51.475894,0.119889,75
51.473203,0.117730,75
51.471627,0.124285,76
51.469745,0.119892,78
51.470051,0.113210,80
51.465994,0.114581,82
51.466201,0.121424,79
51.427687,0.103699,83
51.430747,0.109924,78
51.425330,0.108707,81
51.440028,0.102738,76
51.436741,0.113337,75
51.435222,0.101908,84
51.436747,0.091604,74
51.492808,0.132374,80
51.493323,0.141587,79
51.501558,0.139688,80
51.509573,0.122868,73
51.510483,0.130950,66
51.505247,0.125659,76
51.500118,0.125489,82
51.537166,-0.292079,77
51.535832,-0.300656,81
51.543005,-0.296206,85
51.546044,-0.290838,84
51.542542,-0.305831,81
51.542475,-0.289372,81
51.540620,-0.284341,80
51.540226,-0.293873,82
51.568706,-0.269800,82
51.568071,-0.280653,85
51.568648,-0.274366,85
51.562134,-0.265821,84
51.580299,-0.283415,81
51.577816,-0.289329,82
51.574503,-0.282440,78
51.571988,-0.290787,84
51.544186,-0.229616,88
51.543556,-0.223816,87
51.544201,-0.206371,90
51.541839,-0.215051,87
51.540618,-0.223379,87
51.538520,-0.226037,88
51.546588,-0.216553,87
51.545874,-0.208973,88
51.563927,-0.226926,82
51.567992,-0.241703,79
51.567904,-0.235480,82
51.563060,-0.233722,82
51.560574,-0.240865,81
51.559427,-0.232501,80
51.551781,-0.225622,84
51.552478,-0.231375,83
51.552395,-0.247000,86
51.554456,-0.235346,83
51.548665,-0.248170,86
51.562106,-0.249802,85
51.559590,-0.247641,87
51.556729,-0.246175,86
51.554223,-0.241655,84
51.584292,-0.253029,83
51.584626,-0.258790,82
51.584433,-0.268744,85
51.588375,-0.256003,85
51.582500,-0.276886,84
51.580530,-0.260455,81
51.577078,-0.269166,79
51.587330,-0.263530,83
51.540198,-0.254146,88
51.542223,-0.245029,86
51.539805,-0.248420,88
51.537340,-0.249987,89
51.535493,-0.252266,88
51.546757,-0.251568,86
51.543526,-0.248992,86
